"country","gap_2010","gap_2022","change","pct_change","converged","n_obs_2010","n_obs_2022"
"AT",21.8401215406085,14.7046029608729,-7.13551857973556,-32.6716065497535,TRUE,119,100
"BE",10.6603359390937,6.21353771251538,-4.44679822657833,-41.7134905690071,TRUE,122,69
"BG",7.0457921638368,7.1140137025483,0.0682215387114988,0.96825931173009,FALSE,152,133
"CH",15.1939735019285,11.5957811910382,-3.59819231089037,-23.6817071612878,TRUE,137,139
"CY",18.6778498380681,16.48042590794,-2.19742393012815,-11.7648655984453,TRUE,48,64
"CZ",17.236917317218,14.7590644543005,-2.47785286291748,-14.3752668607532,TRUE,138,138
"DE",17.9276921243186,14.1438081029595,-3.78388402135905,-21.1063643614578,TRUE,148,146
"DK",15.5754021058324,12.7551014942202,-2.82030061161221,-18.1074016095939,TRUE,112,132
"EE",15.9747017800834,14.3100491367142,-1.66465264336927,-10.4205553648875,TRUE,113,103
"EL",15.9340668048044,15.1300158345874,-0.804050970216968,-5.04611270974798,TRUE,132,121
"ES",17.3663306113874,13.5338282205073,-3.83250239088015,-22.0685790029075,TRUE,145,115
"FI",13.4163470879214,10.5035914736761,-2.91275561424539,-21.7104968674201,TRUE,130,109
"FR",11.3443393952313,8.91882975722854,-2.42550963800275,-21.3807922480029,TRUE,148,102
"HR",5.54920018772992,10.2427732826514,4.69357309492145,84.5810735986713,FALSE,52,93
"HU",6.99198889612546,12.6764823639525,5.68449346782701,81.3000928959858,FALSE,154,114
"IE",18.3674980270169,13.3553838536732,-5.0121141733437,-27.2879526975931,TRUE,138,61
"IS",17.0798983413271,12.727894280953,-4.35200406037416,-25.4802691058407,TRUE,66,51
"IT",13.9510454423782,13.4718493070412,-0.479196135336965,-3.43484033018302,TRUE,132,114
"LT",13.3009856074804,11.4691596429101,-1.83182596457031,-13.7721069598038,TRUE,129,82
"LU",11.5899808017616,7.80520678838348,-3.78477401337815,-32.655567581293,TRUE,98,66
"LV",14.3535061987403,10.081099789369,-4.27240640937131,-29.7655942054512,TRUE,139,115
"MT",13.6900904066239,10.7976295084158,-2.89246089820807,-21.1281358434899,TRUE,31,56
"NL",12.5515410957803,14.6743915330952,2.12285043731485,16.913066061892,FALSE,154,109
"NO",10.4940580631636,9.98916043187711,-0.504897631286445,-4.81127156193986,TRUE,138,136
"PL",16.73759456137,13.9543447597778,-2.78324980159228,-16.6287323509195,TRUE,154,114
"PT",15.8366749534128,13.8711070341373,-1.96556791927552,-12.4114937324766,TRUE,126,105
"RO",4.96933236980087,6.37703399839391,1.40770162859304,28.3277817589298,FALSE,148,140
"SE",10.5399509166834,7.39003426725622,-3.14991664942714,-29.8854963777985,TRUE,140,87
"SI",9.36821554453765,8.65776640581803,-0.710449138719625,-7.58361221880583,TRUE,134,113
"SK",15.1725883804329,13.2704914504899,-1.90209692994305,-12.5364036923064,TRUE,138,112
