clustering_method,industry_se,public_se,managerial_se,industry_coef,public_coef,managerial_coef
(1) Panel-level (baseline),0.5118772707767278,0.49424832503789135,0.6109192872089401,4.392216431938612,-2.7055097717531718,4.663092505718226
(2) Two-way (Panel + Year),0.5221148161922624,0.5041332915386492,0.6231376729531188,4.392216431938612,-2.7055097717531718,4.663092505718226
(3) Country-level,0.5779013087366927,0.5828273424904029,0.7556224577669318,4.392216431938612,-2.7055097717531718,4.663092505718226
(4) Wild Cluster Bootstrap (1000 reps),0.3793588094117721,0.3873629490853159,0.4530431733637969,4.392216431938612,-2.7055097717531718,4.663092505718226
