specification,n_obs,industry_coef,industry_se,public_coef,public_se,managerial_coef,managerial_se
(1) Baseline RE,14430,4.392216431938612,0.5118772707767278,-2.7055097717531718,0.49424832503789135,4.663092505718226,0.6109192872089401
(2) Balanced Panel,9028,2.4326154339785315,0.499185458353088,-2.3567416039800526,0.5023977991646321,3.641319473954262,0.6207784801183674
(3) Drop Extreme Gaps,14356,2.0564400679951373,0.3633556341433465,-2.6650937344392465,0.3831472355554995,3.495787499386382,0.48925075363527687
(4) Large Countries,13273,2.385551879199703,0.4159730845689037,-2.6669678629419606,0.4250809775808295,3.790859322900334,0.5466641245581647
(5) Quantile Reg (Median),14430,2.438673982748562,0.28939893820803525,-3.377831522894969,0.234544064782824,4.049838370763539,0.4261963877602859
(6) Fixed Effects,14430,NA,NA,NA,NA,NA,NA
(7) Winsorized (1%/99%),14430,2.218744403452049,0.3695345492059724,-2.7534682770995937,0.3829105327074091,3.7298121056199083,0.490157766339744
