"Country_Group","Coefficient"
"Balkans",-4.97683518787768
"Other",-2.44854773271683
"Nordic",-1.8327142862414
"Eastern",-1.57163477903601
"Mediterranean",1.05168454897239
"Liberal",3.65546073782982
