country,sector,occupation,year,gender_pay_gap,cooks_distance,leverage,residual
LV,Public Admin,Clerical,2018,2.96189772547363,0.04698889462350828,9.045945185147035e-4,-233.68950206922423
LT,Manufacturing,Managers,2010,24.9177565594159,0.043135711651823054,0.002810711576819044,-126.77965049749687
HU,Trade,Agriculture,2010,4.6727266089877,0.013349895879638161,0.0011051221117353766,-112.67179003882326
LV,Electricity,Technicians,2022,4.08293739989502,0.012223013449067928,4.159827182465857e-4,-175.84596482485148
EL,Manufacturing,Technicians,2022,22.816252839987,0.011720060732958995,4.010695417059173e-4,-175.3648208638219
IE,Finance,Technicians,2010,25.4416422865489,0.01045450356304371,0.002810711576819044,-62.41410884114125
NL,Transport,Craft,2014,37.5612124102573,0.010209455018326043,5.852893231642979e-4,-135.46382044493066
FR,Real Estate,Elementary,2014,10.8440981477684,0.009470280823487909,0.0011051221117353766,-94.8981363245027
IT,Education Sector,Clerical,2018,5.67797319432322,0.009040877114170348,5.550221280183273e-4,-130.90933809613512
EE,Admin Services,Agriculture,2010,-144.997349087329,0.008965951599822329,7.539247820580761e-4,-111.8325530403334
NL,Other Services,Managers,2014,24.6955201480668,0.008725590801683997,3.679149310645844e-4,-157.98851052873067
AT,Professional,Clerical,2010,11.3877705423005,0.008461627418494664,0.0014578219330622234,-78.07333412306853
BG,Trade,Technicians,2022,13.0471794631491,0.006807727407102995,9.319181393704847e-4,-87.63324296178929
EU15,Electricity,Agriculture,2010,-92.5090211483122,0.006060543629329416,0.0011051221117353766,-75.91577777815436
AL,Finance,Elementary,2018,-52.9305699535713,0.005964483713449056,0.0024855259498947116,-50.14851609431229
EE,Health,Technicians,2018,7.44373421113067,0.005927094161388974,0.0020876158676921366,-54.569457211384055
UK,Arts,Clerical,2014,10.6140615016268,0.005834292989816177,7.539247820580761e-4,-90.21196900244608
RO,Electricity,Technicians,2018,22.7959749209126,0.005068953359377742,9.236008167466375e-4,-75.95866028659837
LT,Arts,Professionals,2022,11.601140761866,0.005027377779753088,3.343017760376152e-4,-125.81076756474079
MK,Education Sector,Professionals,2014,29.8725854769898,0.004902287699233731,0.0011051221117353766,-68.27719208248831
EL,Finance,Elementary,2010,30.6159106936147,0.004868619235689717,3.8563692436561375e-4,-115.26771677097089
ES,Professional,Craft,2010,24.3061147522603,0.004541441365130181,9.377553469109101e-4,-71.35201316091592
DE,Real Estate,Clerical,2010,8.02549575070821,0.004456163730686272,0.0013086092619726652,-59.809267545175395
MK,Real Estate,Elementary,2010,16.0407124681934,0.004247182750798521,0.0014494805714450262,55.47226766271286
LV,Other Services,Managers,2010,34.6278317152104,0.003800021968506167,6.12027035090557e-4,-80.81713899683135
CY,Hospitality,Elementary,2022,-3.39312373759551,0.0037555073351328203,0.0013805240087883396,53.45323083591252
TR,Mining,Elementary,2010,31.8739186037764,0.0037143407305429968,0.0010359279494563487,-61.388577082155635
HR,Manufacturing,Professionals,2010,5.81584072711534,0.0034922865808548528,0.00297421302866469,-35.06201697475976
IE,Hospitality,Service,2010,13.2940123927234,0.003475326232147657,0.0013086092619726652,-52.81845620088569
EL,Public Admin,Technicians,2010,10.6156031978285,0.0033415926041582616,8.143626467540993e-4,-65.68642313214117
BG,Public Admin,Clerical,2014,-24.6668408675202,0.003304721180593516,5.032211729735733e-4,-83.12486650751048
DE,Trade,Technicians,2014,23.6975561569124,0.003032323638971035,7.416312931198123e-4,-65.57422244068552
BA,Health,Managers,2022,-37.0023748645003,0.003021859179008615,0.002403487563495269,-36.3021792189479
BG,Water,Managers,2010,-10.3281950278353,0.0029472155665014703,6.18270681236779e-4,-70.81245207732326
MT,Transport,Clerical,2014,1.60279970596695,0.002886400756634427,0.0014036018126146613,-46.47377519562808
FR,Construction,Managers,2014,12.1296819212987,0.0025441874511936266,6.260222149562284e-4,-65.38367399437665
MK,Transport,Clerical,2014,19.3171182061856,0.0025133100432059774,7.539247820580761e-4,-59.20972961619272
NL,Other Services,Operators,2014,2.89705326038473,0.002495589931958914,5.032211729735733e-4,72.23541319364084
TR,Water,Clerical,2018,21.2931874796924,0.0024617792063832914,0.001291680943044049,44.745276266772116
ME,Trade,Professionals,2014,-45.5510182150341,0.0024348288842011142,0.0014228256085869401,-42.39372941961361
LV,Health,Service,2018,1.44163277059861,0.00242563218479917,7.361518565396528e-4,-58.86681595537368
HU,Finance,Clerical,2018,10.8107324351488,0.0023879444088951624,6.352687796968505e-4,-62.88093220276008
IE,Trade,Professionals,2018,12.7136147798334,0.002346115249522166,7.696417697494408e-4,-56.618398328191226
NL,Professional,Technicians,2010,20.4353273605133,0.002325849507246793,7.320429956705839e-4,-57.80508907646408
NL,Transport,Craft,2022,40.4447216460167,0.00232053192057018,7.694831814195916e-4,-56.31466428708085
ME,Construction,Clerical,2014,-27.7165320685382,0.0022343915996248663,0.003001113641014748,-27.918668413934785
LV,Professional,Clerical,2014,21.0013417131558,0.0022303420832294574,7.264569042905154e-4,-56.8233460596018
BE,Health,Craft,2010,6.72256148992881,0.0021791736798699468,0.003786724954141733,-24.52607032364396
ES,Mining,Technicians,2010,22.4572898981324,0.002141339113572167,0.0013086092619726652,-41.46012804408714
IT,Other Services,Elementary,2022,9.76852252720293,0.002022149286748037,7.694306694827851e-4,-52.571355555280675
LT,IT,Managers,2010,18.3315321389266,0.001907109366635295,0.001841426961333276,-32.966412985562876
